station_name_en,area,priority_group,facility_type,score_pct
Lok Ma Chau,Yuen Long,Low,Mobility Impaired,80.0
East Tsim Sha Tsui,Yau Tsim Mong,Medium,Mobility Impaired,60.0
Sai Ying Pun,Central and Western,Medium,Mobility Impaired,60.0
HKU,Central and Western,Medium,Mobility Impaired,60.0
Kennedy Town,Central and Western,Low,Mobility Impaired,60.0
Ho Man Tin,Kowloon City,Medium,Mobility Impaired,60.0
Whampoa,Kowloon City,Medium,Mobility Impaired,60.0
Ocean Park,Southern,High,Mobility Impaired,60.0
Wong Chuk Hang,Southern,High,Mobility Impaired,60.0
Lei Tung,Southern,High,Mobility Impaired,60.0
South Horizons,Southern,High,Mobility Impaired,60.0
Hin Keng,Sha Tin,Low,Mobility Impaired,60.0
Kai Tak,Kowloon City,Medium,Mobility Impaired,60.0
Sung Wong Toi,Kowloon City,Medium,Mobility Impaired,60.0
To Kwa Wan,Kowloon City,Medium,Mobility Impaired,60.0
Exhibition Centre,Wan Chai,Medium,Mobility Impaired,60.0
Che Kung Temple,Sha Tin,Medium,Mobility Impaired,60.0
Sha Tin Wai,Sha Tin,Low,Mobility Impaired,60.0
City One,Sha Tin,Low,Mobility Impaired,60.0
Shek Mun,Sha Tin,Low,Mobility Impaired,60.0
Tai Shui Hang,Sha Tin,Low,Mobility Impaired,60.0
Heng On,Sha Tin,Low,Mobility Impaired,60.0
Ma On Shan,Sha Tin,Low,Mobility Impaired,60.0
Wu Kai Sha,Sha Tin,Low,Mobility Impaired,60.0
Austin,Yau Tsim Mong,Medium,Mobility Impaired,60.0
Tsuen Wan West,Tsuen Wan,High,Mobility Impaired,60.0
Kam Sheung Road,Yuen Long,Medium,Mobility Impaired,60.0
Yuen Long,Yuen Long,Medium,Mobility Impaired,60.0
Long Ping,Yuen Long,Medium,Mobility Impaired,60.0
Tin Shui Wai,Yuen Long,Medium,Mobility Impaired,60.0
Siu Hong,Tuen Mun,High,Mobility Impaired,60.0
Tuen Mun,Tuen Mun,High,Mobility Impaired,60.0
Central,Central and Western,Medium,System Accessibility,25.64102564102564
Admiralty,Central and Western,Medium,System Accessibility,38.46153846153847
Tsim Sha Tsui,Yau Tsim Mong,Low,System Accessibility,38.46153846153847
Jordan,Yau Tsim Mong,Low,System Accessibility,25.64102564102564
Yau Ma Tei,Yau Tsim Mong,Low,System Accessibility,38.46153846153847
Mong Kok,Yau Tsim Mong,Medium,System Accessibility,25.64102564102564
Shek Kip Mei,Sham Shui Po,Medium,System Accessibility,46.15384615384615
Kowloon Tong,Kowloon City,Medium,System Accessibility,46.15384615384615
Lok Fu,Wong Tai Sin,Medium,System Accessibility,20.51282051282051
Wong Tai Sin,Wong Tai Sin,High,System Accessibility,38.46153846153847
Diamond Hill,Wong Tai Sin,Medium,System Accessibility,46.15384615384615
Choi Hung,Wong Tai Sin,High,System Accessibility,20.51282051282051
Kowloon Bay,Kwun Tong,Low,System Accessibility,58.97435897435898
Ngau Tau Kok,Kwun Tong,Medium,System Accessibility,20.51282051282051
Kwun Tong,Kwun Tong,High,System Accessibility,38.46153846153847
Prince Edward,Yau Tsim Mong,Low,System Accessibility,38.46153846153847
Sham Shui Po,Sham Shui Po,Medium,System Accessibility,38.46153846153847
Cheung Sha Wan,Sham Shui Po,Medium,System Accessibility,25.64102564102564
Lai Chi Kok,Sham Shui Po,Medium,System Accessibility,51.28205128205128
Mei Foo,Sham Shui Po,Medium,System Accessibility,46.15384615384615
Lai King,Kwai Tsing,High,System Accessibility,25.64102564102564
Kwai Fong,Kwai Tsing,High,System Accessibility,20.51282051282051
Kwai Hing,Kwai Tsing,High,System Accessibility,33.33333333333333
Tai Wo Hau,Tsuen Wan,Medium,System Accessibility,25.64102564102564
Tsuen Wan,Tsuen Wan,High,System Accessibility,33.33333333333333
Sheung Wan,Central and Western,Medium,System Accessibility,33.33333333333333
Wan Chai,Wan Chai,High,System Accessibility,25.64102564102564
Causeway Bay,Wan Chai,High,System Accessibility,25.64102564102564
Tin Hau,Wan Chai,Medium,System Accessibility,25.64102564102564
Fortress Hill,Eastern,Low,System Accessibility,20.51282051282051
North Point,Eastern,High,System Accessibility,25.64102564102564
Quarry Bay,Eastern,Medium,System Accessibility,20.51282051282051
Tai Koo,Eastern,High,System Accessibility,25.64102564102564
Sai Wan Ho,Eastern,Low,System Accessibility,25.64102564102564
Shau Kei Wan,Eastern,High,System Accessibility,33.33333333333333
Heng Fa Chuen,Eastern,Low,System Accessibility,25.64102564102564
Chai Wan,Eastern,Medium,System Accessibility,25.64102564102564
Lam Tin,Kwun Tong,Medium,System Accessibility,20.51282051282051
Hong Kong,Central and Western,Medium,System Accessibility,25.64102564102564
Kowloon,Yau Tsim Mong,Medium,System Accessibility,33.33333333333333
Olympic,Yau Tsim Mong,Medium,System Accessibility,38.46153846153847
Tsing Yi,Kwai Tsing,High,System Accessibility,25.64102564102564
Tung Chung,Islands,High,System Accessibility,28.205128205128204
Airport,Islands,High,System Accessibility,7.6923076923076925
Yau Tong,Kwun Tong,Medium,System Accessibility,46.15384615384615
Tiu Keng Leng,Sai Kung,Medium,System Accessibility,20.51282051282051
Tseung Kwan O,Sai Kung,Medium,System Accessibility,20.51282051282051
Hang Hau,Sai Kung,Medium,System Accessibility,20.51282051282051
Po Lam,Sai Kung,Medium,System Accessibility,20.51282051282051
Nam Cheong,Sham Shui Po,Medium,System Accessibility,25.64102564102564
Sunny Bay,Tsuen Wan,Low,System Accessibility,20.51282051282051
Disneyland Resort,Tsuen Wan,Low,System Accessibility,20.51282051282051
AsiaWorld-Expo,Islands,Medium,System Accessibility,20.51282051282051
LOHAS Park,Sai Kung,Medium,System Accessibility,38.46153846153847
Hung Hom,Yau Tsim Mong,Low,System Accessibility,46.15384615384615
Mong Kok East,Yau Tsim Mong,Low,System Accessibility,20.51282051282051
Tai Wai,Sha Tin,Medium,System Accessibility,20.51282051282051
Sha Tin,Sha Tin,Medium,System Accessibility,28.205128205128204
Fo Tan,Sha Tin,Low,System Accessibility,33.33333333333333
University,Sha Tin,Low,System Accessibility,41.02564102564102
