station_no,station_code,station_name_en,area,long,lat,old_population_percentage,district_exit_percent,hearing_impared_facility,mobility_impared_facility,visually_impaired_facility,system_accessibility,total_facility_score,normal_facility_score,normal_hearing_impared_facility,normal_mobility_impared_facility,normal_visually_impaired_facility,normal_system_accessibility,adjusted_demand
83,KET,Kennedy Town,Central and Western,114.12855633934555,22.281131420734766,19.279687056320537,0.05660377358490566,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,1.091303040923804
84,HOM,Ho Man Tin,Kowloon City,114.18293688648376,22.309250623942248,20.080655766448956,0.14285714285714285,10,15,28,13,66,63.46153846153846,83.33333333333334,60.0,100.0,33.33333333333333,2.868665109492708
85,WHA,Whampoa,Kowloon City,114.18970365661917,22.3044189817071,20.080655766448956,0.2,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,4.016131153289791
86,OCP,Ocean Park,Southern,114.174871271216,22.2490008343243,21.57719216949384,0.25,8,15,21,13,57,54.807692307692314,66.66666666666666,60.0,75.0,33.33333333333333,5.39429804237346
87,WCH,Wong Chuk Hang,Southern,114.1668496418851,22.247743905559304,21.57719216949384,0.25,8,15,21,13,57,54.807692307692314,66.66666666666666,60.0,75.0,33.33333333333333,5.39429804237346
88,LET,Lei Tung,Southern,114.15534710009987,22.243640308512063,21.57719216949384,0.25,8,15,21,13,57,54.807692307692314,66.66666666666666,60.0,75.0,33.33333333333333,5.39429804237346
89,SOH,South Horizons,Southern,114.14901795927246,22.242751609162877,21.57719216949384,0.25,8,15,21,10,54,51.92307692307693,66.66666666666666,60.0,75.0,25.64102564102564,5.39429804237346
90,HIK,Hin Keng,Sha Tin,114.17091338636718,22.36367271947347,19.989001249989172,0.018518518518518517,8,15,23,11,57,54.807692307692314,66.66666666666666,60.0,82.14285714285714,28.205128205128204,0.37016668981461426
91,KAT,Kai Tak,Kowloon City,114.19865702940734,22.330943629805244,20.080655766448956,0.17142857142857143,8,15,23,10,56,53.84615384615385,66.66666666666666,60.0,82.14285714285714,25.64102564102564,3.4423981313912497
92,SUW,Sung Wong Toi,Kowloon City,114.18986111635924,22.32854189874421,20.080655766448956,0.14285714285714285,8,15,23,18,64,61.53846153846154,66.66666666666666,60.0,82.14285714285714,46.15384615384615,2.868665109492708
93,TKW,To Kwa Wan,Kowloon City,114.18710661538996,22.317930521214443,20.080655766448956,0.11428571428571428,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,2.2949320875941663
94,EXC,Exhibition Centre,Wan Chai,114.17458422581514,22.281233747475177,21.223791955367588,0.20689655172413793,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,4.391129370076053
96,CKT,Che Kung Temple,Sha Tin,114.18632176269784,22.374638379394614,19.989001249989172,0.1111111111111111,8,15,28,13,64,61.53846153846154,66.66666666666666,60.0,100.0,33.33333333333333,2.221000138887686
97,STW,Sha Tin Wai,Sha Tin,114.19463672658911,22.3768209384508,19.989001249989172,0.07407407407407407,8,15,28,8,59,56.730769230769226,66.66666666666666,60.0,100.0,20.51282051282051,1.480666759258457
98,CIO,City One,Sha Tin,114.20308511198462,22.382518550330474,19.989001249989172,0.07407407407407407,8,15,28,8,59,56.730769230769226,66.66666666666666,60.0,100.0,20.51282051282051,1.480666759258457
99,SHM,Shek Mun,Sha Tin,114.20813009857932,22.387391646411075,19.989001249989172,0.07407407407407407,9,15,28,8,60,57.692307692307686,75.0,60.0,100.0,20.51282051282051,1.480666759258457
100,TSH,Tai Shui Hang,Sha Tin,114.22229005698682,22.407693205968393,19.989001249989172,0.037037037037037035,9,15,28,10,62,59.61538461538461,75.0,60.0,100.0,25.64102564102564,0.7403333796292285
101,HEO,Heng On,Sha Tin,114.2259259244893,22.41778822886101,19.989001249989172,0.05555555555555555,9,15,28,8,60,57.692307692307686,75.0,60.0,100.0,20.51282051282051,1.110500069443843
102,MOS,Ma On Shan,Sha Tin,114.2316788025234,22.42519137089884,19.989001249989172,0.05555555555555555,8,15,28,8,59,56.730769230769226,66.66666666666666,60.0,100.0,20.51282051282051,1.110500069443843
103,WKS,Wu Kai Sha,Sha Tin,114.24375267474258,22.429739351728397,19.989001249989172,0.05555555555555555,8,15,28,13,64,61.53846153846154,66.66666666666666,60.0,100.0,33.33333333333333,1.110500069443843
111,AUS,Austin,Yau Tsim Mong,114.16633696017675,22.305201551828652,17.88782766290999,0.1092436974789916,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,1.9541324337632764
114,TWW,Tsuen Wan West,Tsuen Wan,114.11016828288402,22.367526095808152,18.134048123363762,0.42857142857142855,8,15,23,10,56,53.84615384615385,66.66666666666666,60.0,82.14285714285714,25.64102564102564,7.77173491001304
115,KSR,Kam Sheung Road,Yuen Long,114.06288360567234,22.43540854939011,15.023051131601006,0.14285714285714285,8,15,23,11,57,54.807692307692314,66.66666666666666,60.0,82.14285714285714,28.205128205128204,2.1461501616572867
116,YUL,Yuen Long,Yuen Long,114.03523372716894,22.446223450545,15.023051131601006,0.32142857142857145,8,15,23,18,64,61.53846153846154,66.66666666666666,60.0,82.14285714285714,46.15384615384615,4.828837863728896
117,LOP,Long Ping,Yuen Long,114.02349812383783,22.447526792033727,15.023051131601006,0.25,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,3.7557627829002516
118,TIS,Tin Shui Wai,Yuen Long,114.0045228333946,22.448095446278025,15.023051131601006,0.25,8,15,23,18,64,61.53846153846154,66.66666666666666,60.0,82.14285714285714,46.15384615384615,3.7557627829002516
119,SIH,Siu Hong,Tuen Mun,113.97859609725481,22.410982884197605,19.325124931196594,0.5,8,15,23,16,62,59.61538461538461,66.66666666666666,60.0,82.14285714285714,41.02564102564102,9.662562465598297
120,TUM,Tuen Mun,Tuen Mun,113.97313452999597,22.394333759971357,19.325124931196594,0.5,8,15,23,13,59,56.730769230769226,66.66666666666666,60.0,82.14285714285714,33.33333333333333,9.662562465598297
